,0.01,0.03,0.05,0.06999999999999999,0.09,0.11,0.13,0.15000000000000002,0.17,0.19,0.21000000000000002,0.23,0.25,0.27,0.29000000000000004,0.31,0.33,0.35000000000000003,0.37,0.39,0.41000000000000003,0.43,0.45,0.47000000000000003,0.49,0.51,0.53,0.55,0.5700000000000001,0.59,0.61,0.63,0.65,0.67,0.6900000000000001,0.7100000000000001,0.73,0.75,0.77,0.79,0.81,0.8300000000000001,0.85,0.87,0.89,0.91,0.93,0.9500000000000001,0.97,0.99
3,0.444,0.4446,0.4335,0.444,0.4459,0.4455,0.4456,0.4524,0.4395,0.4379,0.4404,0.4338,0.4366,0.4399,0.431,0.4364,0.4366,0.4421,0.4323,0.4424,0.443,0.4349,0.444,0.4405,0.4403,0.4299,0.4362,0.4439,0.4398,0.4392,0.4372,0.4271,0.4218,0.4357,0.4321,0.4244,0.4228,0.4227,0.4267,0.4178,0.4173,0.4093,0.4107,0.4099,0.4181,0.4009,0.4058,0.3984,0.3891,0.4014
