,0.5
0.01,0.039
0.03,0.0356
0.05,0.0361
0.06999999999999999,0.0342
0.09,0.0391
0.11,0.0389
0.13,0.0375
0.15000000000000002,0.0359
0.17,0.0363
0.19,0.036
0.21000000000000002,0.0354
0.23,0.0359
0.25,0.0353
0.27,0.0355
0.29000000000000004,0.0367
0.31,0.0368
0.33,0.0362
0.35000000000000003,0.0357
0.37,0.0348
0.39,0.0353
0.41000000000000003,0.036
0.43,0.0328
0.45,0.0322
0.47000000000000003,0.03
0.49,0.0357
0.51,0.0347
0.53,0.0305
0.55,0.0337
0.5700000000000001,0.0305
0.59,0.0319
0.61,0.0326
0.63,0.0289
0.65,0.0317
0.67,0.0333
0.6900000000000001,0.031
0.7100000000000001,0.0287
0.73,0.0325
0.75,0.0315
0.77,0.0263
0.79,0.0275
0.81,0.0247
0.8300000000000001,0.0225
0.85,0.0223
0.87,0.0226
0.89,0.0204
0.91,0.0163
0.93,0.0149
0.9500000000000001,0.0117
0.97,0.01
0.99,0.005
