,0.5
0.01,0.9811
0.03,0.9836
0.05,0.9824
0.06999999999999999,0.9793
0.09,0.9808
0.11,0.9823
0.13,0.9829
0.15000000000000002,0.98
0.17,0.9809
0.19,0.9822
0.21000000000000002,0.9797
0.23,0.9799
0.25,0.9792
0.27,0.981
0.29000000000000004,0.98
0.31,0.9803
0.33,0.9762
0.35000000000000003,0.9785
0.37,0.9787
0.39,0.9773
0.41000000000000003,0.9763
0.43,0.9741
0.45,0.976
0.47000000000000003,0.9743
0.49,0.9716
0.51,0.9745
0.53,0.9702
0.55,0.9726
0.5700000000000001,0.9674
0.59,0.9634
0.61,0.9622
0.63,0.961
0.65,0.959
0.67,0.9531
0.6900000000000001,0.9434
0.7100000000000001,0.9444
0.73,0.9344
0.75,0.9337
0.77,0.9186
0.79,0.9082
0.81,0.8976
0.8300000000000001,0.8823
0.85,0.8541
0.87,0.8298
0.89,0.7995
0.91,0.7307
0.93,0.6609
0.9500000000000001,0.5335
0.97,0.3226
0.99,0.131
