,0.5
0.01,0.031
0.03,0.0293
0.05,0.0286
0.06999999999999999,0.0285
0.09,0.0301
0.11,0.028
0.13,0.0305
0.15000000000000002,0.0316
0.17,0.0274
0.19,0.0315
0.21000000000000002,0.0313
0.23,0.0305
0.25,0.0314
0.27,0.0309
0.29000000000000004,0.0301
0.31,0.0312
0.33,0.0318
0.35000000000000003,0.0311
0.37,0.0319
0.39,0.0303
0.41000000000000003,0.0296
0.43,0.0286
0.45,0.0276
0.47000000000000003,0.0321
0.49,0.0319
0.51,0.0306
0.53,0.0269
0.55,0.0283
0.5700000000000001,0.0303
0.59,0.0291
0.61,0.0287
0.63,0.03
0.65,0.028
0.67,0.0296
0.6900000000000001,0.0292
0.7100000000000001,0.0275
0.73,0.03
0.75,0.0291
0.77,0.032
0.79,0.0282
0.81,0.0291
0.8300000000000001,0.0278
0.85,0.0275
0.87,0.0266
0.89,0.0278
0.91,0.0236
0.93,0.0206
0.9500000000000001,0.0165
0.97,0.0088
0.99,0.0054
