,0.5
0.01,0.9862
0.03,0.9859
0.05,0.9841
0.06999999999999999,0.9862
0.09,0.9859
0.11,0.9863
0.13,0.9852
0.15000000000000002,0.9853
0.17,0.984
0.19,0.9852
0.21000000000000002,0.9827
0.23,0.9831
0.25,0.9823
0.27,0.9832
0.29000000000000004,0.9835
0.31,0.9864
0.33,0.9848
0.35000000000000003,0.9823
0.37,0.9822
0.39,0.981
0.41000000000000003,0.982
0.43,0.981
0.45,0.9804
0.47000000000000003,0.9809
0.49,0.9803
0.51,0.9769
0.53,0.9761
0.55,0.9759
0.5700000000000001,0.9743
0.59,0.972
0.61,0.9708
0.63,0.9716
0.65,0.9652
0.67,0.9631
0.6900000000000001,0.9629
0.7100000000000001,0.9586
0.73,0.9561
0.75,0.9484
0.77,0.9396
0.79,0.9345
0.81,0.9229
0.8300000000000001,0.9035
0.85,0.8869
0.87,0.8663
0.89,0.8407
0.91,0.7826
0.93,0.7146
0.9500000000000001,0.6096
0.97,0.4338
0.99,0.1518
