,q,mean_dead_ratio,std_dead_ratio,mean_recovered_ratio,std_recovered_ratio,mean_infected_ratio,std_infected_ratio
0,2,0.315,0.034999999999999976,0.585,0.015000000000000013,0.37,0.010000000000000009
1,3,0.295,0.0050000000000000044,0.525,0.03500000000000003,0.345,0.014999999999999986
