,0.5
0.01,0.979
0.03,0.9808
0.05,0.9811
0.06999999999999999,0.981
0.09,0.9842
0.11,0.9826
0.13,0.9827
0.15000000000000002,0.9805
0.17,0.9811
0.19,0.9792
0.21000000000000002,0.9788
0.23,0.9783
0.25,0.9821
0.27,0.9814
0.29000000000000004,0.9818
0.31,0.9803
0.33,0.979
0.35000000000000003,0.9765
0.37,0.9792
0.39,0.9748
0.41000000000000003,0.9776
0.43,0.9753
0.45,0.9739
0.47000000000000003,0.9749
0.49,0.9736
0.51,0.9708
0.53,0.9681
0.55,0.9689
0.5700000000000001,0.9674
0.59,0.9699
0.61,0.9607
0.63,0.9615
0.65,0.9586
0.67,0.95
0.6900000000000001,0.9507
0.7100000000000001,0.9467
0.73,0.939
0.75,0.9343
0.77,0.9154
0.79,0.9082
0.81,0.8944
0.8300000000000001,0.8818
0.85,0.8656
0.87,0.8191
0.89,0.7916
0.91,0.739
0.93,0.6461
0.9500000000000001,0.5292
0.97,0.3449
0.99,0.1295
