,0.5
0.01,0.9874
0.03,0.9861
0.05,0.9866
0.06999999999999999,0.9879
0.09,0.9858
0.11,0.9859
0.13,0.9873
0.15000000000000002,0.9886
0.17,0.9849
0.19,0.9857
0.21000000000000002,0.9829
0.23,0.9852
0.25,0.9847
0.27,0.9825
0.29000000000000004,0.9848
0.31,0.9852
0.33,0.9817
0.35000000000000003,0.9813
0.37,0.9815
0.39,0.9828
0.41000000000000003,0.981
0.43,0.9792
0.45,0.9829
0.47000000000000003,0.9797
0.49,0.9779
0.51,0.9765
0.53,0.9777
0.55,0.9757
0.5700000000000001,0.975
0.59,0.9705
0.61,0.9704
0.63,0.9653
0.65,0.9668
0.67,0.9613
0.6900000000000001,0.9587
0.7100000000000001,0.9603
0.73,0.9533
0.75,0.949
0.77,0.9366
0.79,0.9292
0.81,0.9192
0.8300000000000001,0.8981
0.85,0.8796
0.87,0.8597
0.89,0.8236
0.91,0.7962
0.93,0.7198
0.9500000000000001,0.6105
0.97,0.4387
0.99,0.143
