,0.5
0.01,0.2901
0.03,0.2806
0.05,0.2824
0.06999999999999999,0.2808
0.09,0.2883
0.11,0.288
0.13,0.2881
0.15000000000000002,0.2906
0.17,0.2878
0.19,0.2926
0.21000000000000002,0.2842
0.23,0.2884
0.25,0.2899
0.27,0.2849
0.29000000000000004,0.2822
0.31,0.2872
0.33,0.2896
0.35000000000000003,0.2941
0.37,0.2829
0.39,0.2818
0.41000000000000003,0.284
0.43,0.2806
0.45,0.2873
0.47000000000000003,0.2734
0.49,0.2832
0.51,0.2834
0.53,0.2827
0.55,0.2802
0.5700000000000001,0.2704
0.59,0.2886
0.61,0.2841
0.63,0.2813
0.65,0.2728
0.67,0.2831
0.6900000000000001,0.2738
0.7100000000000001,0.2755
0.73,0.2717
0.75,0.28
0.77,0.2745
0.79,0.2637
0.81,0.2618
0.8300000000000001,0.2479
0.85,0.2525
0.87,0.2397
0.89,0.2296
0.91,0.2191
0.93,0.2015
0.9500000000000001,0.1577
0.97,0.105
0.99,0.0476
