,0.5
0.01,0.9824
0.03,0.9814
0.05,0.9817
0.06999999999999999,0.9803
0.09,0.9824
0.11,0.9803
0.13,0.9822
0.15000000000000002,0.9806
0.17,0.979
0.19,0.9815
0.21000000000000002,0.981
0.23,0.9813
0.25,0.9782
0.27,0.976
0.29000000000000004,0.9794
0.31,0.9773
0.33,0.9757
0.35000000000000003,0.9766
0.37,0.9746
0.39,0.9773
0.41000000000000003,0.9734
0.43,0.9774
0.45,0.9727
0.47000000000000003,0.9711
0.49,0.9743
0.51,0.971
0.53,0.9659
0.55,0.9665
0.5700000000000001,0.9685
0.59,0.9664
0.61,0.9601
0.63,0.958
0.65,0.9556
0.67,0.9516
0.6900000000000001,0.9382
0.7100000000000001,0.9398
0.73,0.9331
0.75,0.923
0.77,0.9158
0.79,0.9055
0.81,0.894
0.8300000000000001,0.8726
0.85,0.8553
0.87,0.8176
0.89,0.7777
0.91,0.7203
0.93,0.6458
0.9500000000000001,0.5101
0.97,0.3337
0.99,0.1263
