,0.5
0.01,0.2534
0.03,0.2481
0.05,0.2548
0.06999999999999999,0.2618
0.09,0.2681
0.11,0.2512
0.13,0.2573
0.15000000000000002,0.2482
0.17,0.2521
0.19,0.2564
0.21000000000000002,0.2516
0.23,0.2555
0.25,0.2606
0.27,0.2555
0.29000000000000004,0.2534
0.31,0.2595
0.33,0.2451
0.35000000000000003,0.2542
0.37,0.2487
0.39,0.2516
0.41000000000000003,0.2557
0.43,0.2463
0.45,0.2457
0.47000000000000003,0.2467
0.49,0.2437
0.51,0.2397
0.53,0.2488
0.55,0.2473
0.5700000000000001,0.2441
0.59,0.2477
0.61,0.2419
0.63,0.2454
0.65,0.2523
0.67,0.243
0.6900000000000001,0.243
0.7100000000000001,0.2455
0.73,0.2304
0.75,0.2413
0.77,0.2337
0.79,0.2328
0.81,0.2352
0.8300000000000001,0.224
0.85,0.2206
0.87,0.2096
0.89,0.2098
0.91,0.1887
0.93,0.175
0.9500000000000001,0.1382
0.97,0.0932
0.99,0.0412
