,0.5
0.01,0.9845
0.03,0.9877
0.05,0.9858
0.06999999999999999,0.9861
0.09,0.9849
0.11,0.9877
0.13,0.9845
0.15000000000000002,0.9853
0.17,0.9852
0.19,0.9859
0.21000000000000002,0.9856
0.23,0.9864
0.25,0.9859
0.27,0.9848
0.29000000000000004,0.9833
0.31,0.9826
0.33,0.9839
0.35000000000000003,0.9839
0.37,0.9829
0.39,0.9836
0.41000000000000003,0.9846
0.43,0.9801
0.45,0.9818
0.47000000000000003,0.9768
0.49,0.9814
0.51,0.9794
0.53,0.9766
0.55,0.9754
0.5700000000000001,0.9756
0.59,0.9757
0.61,0.9726
0.63,0.969
0.65,0.9668
0.67,0.9623
0.6900000000000001,0.9655
0.7100000000000001,0.9567
0.73,0.9522
0.75,0.9478
0.77,0.9388
0.79,0.9276
0.81,0.9175
0.8300000000000001,0.9161
0.85,0.8887
0.87,0.8606
0.89,0.8319
0.91,0.7904
0.93,0.725
0.9500000000000001,0.6138
0.97,0.454
0.99,0.1517
