,0.5
0.01,0.983
0.03,0.9813
0.05,0.9824
0.06999999999999999,0.9827
0.09,0.9804
0.11,0.9826
0.13,0.9806
0.15000000000000002,0.9819
0.17,0.9805
0.19,0.9794
0.21000000000000002,0.9785
0.23,0.9797
0.25,0.9801
0.27,0.9829
0.29000000000000004,0.9801
0.31,0.9786
0.33,0.979
0.35000000000000003,0.9779
0.37,0.9797
0.39,0.9786
0.41000000000000003,0.9781
0.43,0.9753
0.45,0.9741
0.47000000000000003,0.9747
0.49,0.9743
0.51,0.9744
0.53,0.9691
0.55,0.9705
0.5700000000000001,0.9668
0.59,0.9646
0.61,0.9647
0.63,0.9631
0.65,0.9581
0.67,0.9562
0.6900000000000001,0.9495
0.7100000000000001,0.9452
0.73,0.9351
0.75,0.9363
0.77,0.9209
0.79,0.9057
0.81,0.8982
0.8300000000000001,0.8764
0.85,0.8579
0.87,0.8295
0.89,0.7923
0.91,0.737
0.93,0.6598
0.9500000000000001,0.5454
0.97,0.3432
0.99,0.1365
