,0.5
0.01,0.4044
0.03,0.4059
0.05,0.4101
0.06999999999999999,0.4084
0.09,0.4007
0.11,0.4058
0.13,0.4128
0.15000000000000002,0.4062
0.17,0.4053
0.19,0.403
0.21000000000000002,0.4011
0.23,0.4083
0.25,0.4054
0.27,0.4102
0.29000000000000004,0.4132
0.31,0.4059
0.33,0.4034
0.35000000000000003,0.4079
0.37,0.4066
0.39,0.4107
0.41000000000000003,0.4116
0.43,0.4032
0.45,0.4132
0.47000000000000003,0.4108
0.49,0.397
0.51,0.4059
0.53,0.418
0.55,0.4082
0.5700000000000001,0.4073
0.59,0.4113
0.61,0.3967
0.63,0.408
0.65,0.4045
0.67,0.3889
0.6900000000000001,0.4017
0.7100000000000001,0.3969
0.73,0.3963
0.75,0.3986
0.77,0.3961
0.79,0.4
0.81,0.394
0.8300000000000001,0.3802
0.85,0.3695
0.87,0.3636
0.89,0.3483
0.91,0.3205
0.93,0.2945
0.9500000000000001,0.2338
0.97,0.162
0.99,0.07
