,0.5
0.01,0.987
0.03,0.9858
0.05,0.9865
0.06999999999999999,0.9868
0.09,0.9864
0.11,0.9852
0.13,0.9849
0.15000000000000002,0.9867
0.17,0.9851
0.19,0.984
0.21000000000000002,0.9854
0.23,0.9846
0.25,0.9855
0.27,0.9842
0.29000000000000004,0.9839
0.31,0.9819
0.33,0.9834
0.35000000000000003,0.9817
0.37,0.9833
0.39,0.9837
0.41000000000000003,0.9824
0.43,0.9821
0.45,0.9798
0.47000000000000003,0.9801
0.49,0.9821
0.51,0.9775
0.53,0.978
0.55,0.9762
0.5700000000000001,0.9743
0.59,0.9748
0.61,0.9732
0.63,0.9682
0.65,0.9646
0.67,0.9659
0.6900000000000001,0.9597
0.7100000000000001,0.9609
0.73,0.9528
0.75,0.9493
0.77,0.9417
0.79,0.9284
0.81,0.926
0.8300000000000001,0.9025
0.85,0.8835
0.87,0.861
0.89,0.8268
0.91,0.7836
0.93,0.7165
0.9500000000000001,0.6165
0.97,0.4415
0.99,0.1464
